# 
# This file contains the parameter values of the Design Points successfully updated by ANSYS Workbench.
# Project name: OP1_1
# Creation date: 09/27/2024 13:01:26
# 
# 09/27/2024 13:01:26
# The parameters defined in the project are:
# ,P1 - $length_between_row [mm],P2 - $move_r [mm],P3 - mean,P4 - dif
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4
DP 0,1,2,0.14726804253254311,0.084432710860965071
DP 2,2.7487569989170879,4.7303563449531794,0.11296758115219389,0.0233586076277276
DP 3,0.16482598730362952,5.116680646315217,0.12515884003880151,0.032405262365182673
# 
# 09/27/2024 15:17:57
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - $length_between_row [mm],P2 - $move_r [mm],P3 - mean,P4 - dif
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4
DP 5,4.1653817461337894,33.054582718759775,0.02722963584136882,0.0024846572706417932
DP 6,0.90665173600427806,18.149672150611877,0.057857908320629509,0.0091716656301668933
DP 7,2.7582172676920891,19.76536245085299,0.0503399093542802,0.0061202143396622694
DP 8,3.6840793490409851,31.633784640580416,0.029183449500126239,0.002779889018383103
DP 9,4.07808470306918,16.829180056229234,0.055436105452925447,0.0058010658918545288
DP 10,4.8245231935288757,30.228125844150782,0.029976794654112161,0.0027515974000388941
DP 11,0.97641881555318832,31.001418232917786,0.031854307570354817,0.004261150112069725
DP 12,4.14213597541675,17.722306614741683,0.052977933819982087,0.0054112167905027049
DP 13,3.4124080685433,3.9593841135501862,0.1145615982906858,0.028468201871888109
DP 14,4.1447191056795418,28.0398375261575,0.033402359261752231,0.0031772863822225432
DP 15,4.3622480670455843,7.5051715318113565,0.089036510493311322,0.012567539880082339
DP 16,4.2763242602813989,25.63045946881175,0.036850717359427222,0.003489867315423785
DP 17,0.24467572686262429,1.7599423974752426,0.15604364831848019,0.097307397269056253
DP 18,1.7230998328886926,25.335022378712893,0.040085816393805,0.0051250617397094293
DP 19,0.94294540933333337,20.452954759821296,0.051510137793980837,0.007752671918303481
DP 20,3.35989823914133,31.204285928979516,0.02990946618572142,0.0031409508593760039
DP 21,0.51807489944621921,23.336595734581351,0.045371352139742457,0.0069145838518899364
DP 22,4.8245231935288757,22.890546596273904,0.040840254577841753,0.0037036015951920978
DP 23,4.9766183531617578,17.090077949373054,0.053002801270590691,0.0048900727024980377
DP 24,3.5968475382231242,29.434963526313624,0.031983437365094763,0.0031613176271468421
DP 25,0,8.0503499626049226,0.10487448058678329,0.022710636636879059
DP 26,2.8017203929109278,31.310877759680849,0.030191221489759629,0.003344435670664152
DP 27,3.1604287524374768,30.090777315415295,0.031456580398252248,0.0034116577219450439
DP 28,5,34.944646938384253,0.024834127105476941,0.0020869893270279438
DP 29,2.2232622852158186,34.942120615567845,0.02645267073932046,0.0028523086727603778
DP 30,2.9959213307327408,29.848409021002094,0.031917555258682347,0.0033888334945064
DP 31,0,5.116680646315217,0.12614099189055311,0.034601364696024
DP 32,4.3622480670455843,1.7112948534175665,0.12556057443644369,0.075849975226842642
DP 33,4.4069006666037325,15.636969146807438,0.058062815203258372,0.0057306343113667146
DP 34,5,36.009232965393373,0.02384337253895737,0.0021136349072020271
DP 35,0.3498332966545008,22.892853850973466,0.046540826370805789,0.0072069557164757027
DP 36,1.9816530751749371,17.938141227318855,0.056457057453457637,0.00750127149722609
DP 37,1.8172273938711203,40,0.02193509086166583,0.002224921350338705
DP 38,4.39491151017241,40,0.020871076124326371,0.0017009405563914071
DP 39,3.9464264396064692,5.1837847236578547,0.1037133325348981,0.017645728464872432
DP 40,0.17454942836436116,10.466494146014151,0.090111622764543556,0.017448271069977279
DP 41,4.6697257159827705,5.116680646315217,0.100585245193801,0.01751199887275141
DP 42,0.52490017246493226,30.228125844150782,0.033261302700048678,0.0044525816024867017
DP 43,4.6613799071901658,21.727450492846959,0.043227608618624312,0.0041080029573500806
DP 44,0,16.647450449760775,0.0643273694811899,0.01160762943393685
DP 45,3.3021749068052584,23.202171209883392,0.042202220287912207,0.004669481836787167
