# 
# This file contains the parameter values of the Design Points successfully updated by ANSYS Workbench.
# Project name: OP1
# Creation date: 10/04/2024 22:22:59
# 
# 10/04/2024 22:23:00
# The parameters defined in the project are:
# ,P1 - $length_between_row [mm],P2 - $move_r [mm],P3 - mean,P4 - dif,P5 - ppmmax,P6 - diffmin
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P6
DP 44,2.875,28.95,0.03325062240296224,0.003643026825005528,1.121163484365139E-06,9.0203815306421433E-07
DP 45,4.225,10.05,0.077921691430420117,0.0085103839138615661,1.119241124400577E-06,9.0080685384933084E-07
DP 46,2.525,21.45,0.046838154806393383,0.0055808784195781613,1.1320342024928079E-06,8.9372940835021929E-07
DP 47,4.925,6.75,0.09054616226102187,0.01229407297354288,1.1850874173502851E-06,9.1353371111804941E-07
DP 48,3.025,9.45,0.084746435317018379,0.011168678709035569,1.1429872993380931E-06,8.7940857376088289E-07
DP 49,2.225,25.65,0.039007278518321371,0.0047288878504311094,1.1356713531663849E-06,8.9320953424148924E-07
DP 50,0.82500000000000018,13.35,0.074677228800346773,0.01255631452737334,1.19164761396708E-06,8.5536533008792733E-07
DP 51,0.97500000000000009,22.05,0.04763561407157052,0.00691814334940043,1.1625903717539929E-06,8.7212940114464073E-07
DP 52,1.025,8.5499999999999989,0.097341973113309235,0.017625954315551789,1.209783001820764E-06,8.47638004101546E-07
DP 53,3.5749999999999997,10.649999999999999,0.077532250977889142,0.00962707968507441,1.1395177117654029E-06,8.9118028924377789E-07
DP 54,4.325,4.9500000000000011,0.1032497783221278,0.02015208983871113,1.298340350306138E-06,9.0798426109810463E-07
DP 55,3.625,24.150000000000002,0.04007529973910888,0.004211588206306429,1.115942386528542E-06,9.0575864573438878E-07
DP 56,4.375,17.25,0.053746049696346269,0.00530352517144915,1.1055171387871261E-06,9.0816216288050727E-07
DP 57,0.17500000000000027,3.1499999999999986,0.14237270239994049,0.049907134461995753,1.521571261673002E-06,8.2049396777151959E-07
DP 58,1.675,26.25,0.038507831821572407,0.0050004599967962068,1.1464037237098409E-06,8.8669239953215044E-07
DP 59,1.7249999999999999,16.05,0.062664536619050429,0.0089591926270005118,1.1597380651954469E-06,8.737966664274271E-07
DP 60,4.275,29.549999999999997,0.0312718414077176,0.0030049385267926221,1.105767778297654E-06,9.1358603321813065E-07
DP 61,4.625,8.85,0.081718714427821665,0.0095200985663342688,1.1372922350271819E-06,9.0429545741039964E-07
DP 62,0.27499999999999991,19.05,0.056352243950085541,0.0092672794979897985,1.18796533585865E-06,8.5905990642452253E-07
DP 63,0.125,14.549999999999999,0.071696755095366382,0.01281290168380562,1.2047590572562229E-06,8.4733976633398463E-07
DP 64,1.0749999999999997,15.15,0.0671792583823613,0.01064441195726743,1.178131240781494E-06,8.6123545438614313E-07
DP 65,3.175,3.4499999999999993,0.11964045868416941,0.033293058664494619,1.443522886316575E-06,8.8697104707456372E-07
DP 66,0.375,25.35,0.041475015753724809,0.0060250321717101527,1.1708514321627681E-06,8.8031352338962594E-07
DP 67,2.625,15.450000000000001,0.062579219435531463,0.00804926043773382,1.139606605647396E-06,8.8235633917431888E-07
DP 68,3.525,16.35,0.057892906435865768,0.0066404232866133124,1.121384795494314E-06,8.9198110183213347E-07
DP 69,1.875,1.0500000000000007,0.1498092021559419,0.1057704388650996,2.273135098129017E-06,8.6106644890146E-07
DP 70,3.725,20.25,0.047677834573849651,0.0050850690497728666,1.11705890700083E-06,9.03749343123869E-07
DP 71,4.775,2.8499999999999996,0.1145269080436674,0.044080064900926509,1.683654131795992E-06,9.13877567425296E-07
DP 72,4.8249999999999993,13.05,0.065011618440407051,0.0063048521018062116,1.103509892963548E-06,9.0954911324274927E-07
DP 73,1.625,12.75,0.074862631823099712,0.01125346495612586,1.169783695482603E-06,8.6914064615145471E-07
DP 74,3.775,13.65,0.0657014579419651,0.0071709929993919973,1.116770468233523E-06,8.9848024381487287E-07
DP 75,2.7750000000000004,0.15000000000000036,0.1518409758173469,0.17228903142035679,3.1460445819467849E-06,8.76709437162056E-07
DP 76,3.325,21.75,0.045066160844258039,0.0050106446825367058,1.12062617464453E-06,8.9825779053243509E-07
DP 77,1.1749999999999998,5.85,0.11381404518660811,0.02412128529548033,1.273087903309844E-06,8.492160471442651E-07
DP 78,0.32500000000000018,10.35,0.09018999206663729,0.01698753332374384,1.218721527043072E-06,8.4201602048991669E-07
DP 79,1.4249999999999998,18.45,0.056049273011072008,0.0080155270646351737,1.1602007161730181E-06,8.7418355184506135E-07
DP 80,2.175,16.95,0.058921213046605032,0.0079113397064290748,1.14888504896394E-06,8.803454416693168E-07
DP 81,2.0250000000000004,22.65,0.0449474445844772,0.0058059110769631064,1.144989029183783E-06,8.8664681949259224E-07
DP 82,2.425,28.05,0.03490601207959855,0.0040842194882353411,1.132243182520047E-06,8.9823080213572683E-07
DP 83,4.0749999999999993,14.85,0.061126093943936928,0.0063531936632842748,1.1114901957706049E-06,9.0361845873106064E-07
DP 84,4.575,25.95,0.036037376606246008,0.003401789900303862,1.1029215309798611E-06,9.141292147425986E-07
DP 85,4.725,23.55,0.039783741321668363,0.0036670648505519772,1.101540551549616E-06,9.1719062724751379E-07
DP 86,0.675,26.85,0.038441015820449682,0.0051551034738268608,1.1515287408146409E-06,8.8332024716268691E-07
DP 87,2.475,8.25,0.092929596901368428,0.0139728984128331,1.175887720850446E-06,8.7516762996996241E-07
DP 88,2.8249999999999997,17.849999999999998,0.055104530675150851,0.006903720826399784,1.133710037125865E-06,8.8314186271936389E-07
DP 89,2.9749999999999996,22.95,0.043098863714713449,0.0050041457209676482,1.1261323725139161E-06,8.9391531203214383E-07
DP 90,4.875,27.75,0.033125875842329927,0.0029834168460800888,1.098478645010789E-06,9.1835257919563306E-07
DP 91,4.475,20.849999999999998,0.045257136752234292,0.0044508496370154228,1.1047001137280321E-06,9.0800849970118208E-07
DP 92,2.575,4.3500000000000014,0.11659401351449269,0.025129513596629838,1.3053847434043391E-06,8.7432464281853607E-07
DP 93,0.024999999999999911,7.65,0.10736169008747019,0.022973794360257541,1.255717862715084E-06,8.2774780483800973E-07
DP 94,0.22500000000000009,28.349999999999998,0.036336665925579117,0.0050989086925672146,1.1640226577973811E-06,8.8337452662264715E-07
DP 95,2.375,19.65,0.051232739618538879,0.0065033001713910724,1.1427508609151059E-06,8.8887803585002532E-07
DP 96,3.4749999999999996,1.3499999999999996,0.13467318635892281,0.092072061937832836,2.25482457952262E-06,8.8748391688398536E-07
DP 97,3.225,26.55,0.036471333646723753,0.003939916939962998,1.122572992362839E-06,9.0651744703364139E-07
DP 98,1.775,7.05,0.10288807822986749,0.01715778853052739,1.19680371358427E-06,8.6328035838670533E-07
DP 99,4.425,11.55,0.071365638160513986,0.0071797749228124366,1.106120247898732E-06,9.04909269958231E-07
DP 100,1.4749999999999999,10.95,0.0831787488653618,0.01290223414422529,1.1669730650932061E-06,8.567439664298055E-07
