# 
# This file contains the parameter values of the Design Points successfully updated by ANSYS Workbench.
# Project name: OP1
# Creation date: 09/28/2024 10:04:58
# 
# 09/28/2024 10:04:58
# The parameters defined in the project are:
# ,P1 - $length_between_row [mm],P2 - $move_r [mm],P3 - mean,P4 - dif
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4
DP 1,4.225,8.2,0.086188054941131,0.01117822710084587
DP 2,1.1749999999999998,12.6,0.076821094980119436,0.01221674114908643
DP 3,1.4249999999999998,3.4000000000000021,0.13127008010841609,0.0369070788662123
DP 4,4.925,6.6000000000000014,0.091302858023787167,0.01340651858008347
DP 5,0.675,15.8,0.065802544269731436,0.0106377012779524
DP 6,0.32500000000000018,18.6,0.057580545132419773,0.0094940376398102364
DP 7,0.375,33.4,0.029183505513307281,0.003777358332399736
DP 8,3.4749999999999996,5.8000000000000007,0.10230575847419721,0.0168199029494112
DP 9,1.825,37.400000000000006,0.02420423024793545,0.0026103988919616238
DP 10,4.275,33.8,0.026392307375089168,0.0023657583416507189
DP 11,0.075000000000000178,4.1999999999999993,0.13345481957722341,0.038650432979003273
DP 12,0.52499999999999991,1,0.16204677341450549,0.12321802881220451
DP 13,4.975,23,0.040441673301770321,0.0036931035378493689
DP 14,2.575,5,0.11206886484461839,0.021103110776995389
DP 15,1.0749999999999997,2.1999999999999993,0.14469944312932481,0.076329261709317475
DP 16,4.375,4.6,0.10515430853864249,0.022546094913351231
DP 17,2.525,27.400000000000002,0.035837226513994333,0.0043037888499236274
DP 18,4.775,27,0.034280937901041558,0.003151423224806472
DP 19,3.4250000000000003,37,0.023805743877285571,0.0023445896120498229
DP 20,1.125,39.8,0.022363148343551589,0.002400483903446464
DP 21,1.575,25.8,0.039412085373107981,0.0051828502916263326
DP 22,0.27499999999999991,11,0.087024828558094042,0.015992592058184148
DP 23,1.025,25,0.041480543998310332,0.0058561553695081481
DP 24,3.5749999999999997,12.2,0.071418178453583933,0.0080274306608134061
DP 25,1.675,32.2,0.029884590716605191,0.00344076314592639
DP 26,3.175,22.200000000000003,0.044322456800473087,0.0050872986848595064
DP 27,3.725,3,0.1196503627349646,0.046638823123000273
DP 28,0.575,21,0.050690342997359868,0.0077091831261375176
DP 29,1.375,19.8,0.05250278981029647,0.007755194488448032
DP 30,3.775,36.2,0.0243314484340635,0.002245288141431529
DP 31,3.325,3.7999999999999972,0.116188013530188,0.027308205662435941
DP 32,4.725,1.8000000000000007,0.1225653403358653,0.0843955500038257
